Video;Proportion of area visited
Video SU - Apr 14 2024, 12 14 18.avi(1);0.007
Video SP - Apr 14 2024, 12 14 18.avi(3);0.124 
Video RU - Apr 14 2024, 12 14 18.avi(2);0.016
Video RP - Apr 14 2024, 12 14 18.avi(4);0.114
Video SP - Apr 14 2024, 14 03 52.avi(1);0.05
Video RP - Apr 14 2024, 14 03 52.avi(2);0.147
Video SU - Apr 14 2024, 14 03 52.avi(3);0.003
Video RU - Apr 14 2024, 14 03 52.avi(4);0.041
Video SP - Apr 14 2024, 15 13 46.avi(1);0.24 
Video RP - Apr 14 2024, 15 13 46.avi(2);0.170
Video SU - Apr 14 2024, 15 13 46.avi(3);0.034
Video RU - Apr 14 2024, 15 13 46.avi(4);0.102
Video SP - Apr 18 2024, 11 24 09.avi(1);0.074
Video RP - Apr 18 2024, 11 24 09.avi(2);0.266
Video SU - Apr 18 2024, 11 24 09.avi(3);0.236
Video RU - Apr 18 2024, 11 24 09.avi(4);0.209
Video SP - Apr 18 2024, 14 06 42.avi(1);0.282
Video RP - Apr 18 2024, 14 06 42.avi(2);0.227
Video SU - Apr 18 2024, 14 06 42.avi(3);0.091
Video RU - Apr 18 2024, 14 06 42.avi(4); 0.035
Video SP - Apr 18 2024, 15 38 41.avi(1);0.038
Video RP - Apr 18 2024, 15 38 41.avi(2);0.280
Video SU - Apr 18 2024, 15 38 41.avi(3);0.117
Video RU - Apr 18 2024, 15 38 41.avi(4);0.052
Video SP - Apr 19 2024, 12 08 01.avi(1);0.001
Video RP - Apr 19 2024, 12 08 01.avi(2);0.228
Video SU - Apr 19 2024, 12 08 01.avi(3);0.157
Video RU - Apr 19 2024, 12 08 01.avi(4); 0.048
Video SP - Jun 25 20 24, 10 38 36.avi(1);0.001
Video RP - Jun 25 2024, 10 38 36.avi(2);0.366
Video SU - Jun 25 2024, 10 38 36.avi(3);0.02
Video RU - Jun 25 2024, 10 38 36.avi(4);0.359
Video SP - Jun 25 2024, 11 22 08.avi(1);0.118
Video RP - Jun 25 2024, 11 22 08.avi(2);0.243
Video SU - Jun 25 2024, 11 22 08.avi(3);0.006
Video RU - Jun 25 2024, 11 22 08.avi(4);0.243
Video SP - Jun 25 2024, 12 13 46.avi(1);0.005
Video RP - Jun 25 2024, 12 13 46.avi(2);0.286
Video SU - Jun 25 2024, 12 13 46.avi(3);0.015
Video RU - Jun 25 2024, 12 13 46.avi(4);0.333
Video SP - Jun 25 2024, 12 52 27.avi(1);0.061
Video RP - Jun 25 2024, 12 52 27.avi(2);0.316
Video SU - Jun 25 2024, 12 52 27.avi(3);0.139
Video RU - Jun 25 2024, 12 52 27.avi(4);0.068
Video SP - Jun 25 2024, 14 23 05.avi(1);0.16
Video RP - Jun 25 2024, 14 23 05.avi(2);0.255
Video SU - Jun 25 2024, 14 23 05.avi(3);0.096
Video RU - Jun 25 2024, 14 23 05.avi(4);0.004
Video SP - Jun 25 2024, 15 02 24.avi(1);0.046
Video RP - Jun 25 2024, 15 02 24.avi(2);0.324
Video SU - Jun 25 2024, 15 02 24.avi(3);0.146
Video RU - Jun 25 2024, 15 02 24.avi(4);0.265
Video SP - May 01 2024, 09 59 16.avi(1);0.056
Video RP - May 01 2024, 09 59 16.avi(2);0.164
Video SU - May 01 2024, 09 59 16.avi(3);0.089
Video RU - May 01 2024, 09 59 16.avi(4); 0.059
Video SP - May 01 2024, 11 23 44.avi(1);0.069
Video RP - May 01 2024, 11 23 44.avi(2);0.298
Video SU - May 01 2024, 11 23 44.avi(3);0.003
Video RU - May 01 2024, 11 23 44.avi(4);0.128
Video SP - May 01 2024, 12 29 51.avi(1);0.001
Video RP - May 01 2024, 12 29 51.avi(2); 0.085
Video SU - May 01 2024, 12 29 51.avi(3);0.005
Video RU - May 01 2024, 12 29 51.avi(4);0.108
Video SP - May 01 2024, 14 13 41.avi(1);0.007
Video RP - May 01 2024, 14 13 41.avi(2);0.133
Video SU - May 01 2024, 14 13 41.avi(3);0.173
Video RU - May 01 2024, 14 13 41.avi(4);0.243
Video SP - May 03 2024, 12 04 58.avi(1);0.218
Video RP - May 03 2024, 12 04 58.avi(2);0.134
Video SU - May 03 2024, 12 04 58.avi(3);0.004
Video RU - May 03 2024, 12 04 58.avi(4);0.006
Video SP - May 03 2024, 13 09 23.avi(1);0.18
Video RP - May 03 2024, 13 09 23.avi(2);0.194
Video SU - May 03 2024, 13 09 23.avi(3);0.004
Video RU - May 03 2024, 13 09 23.avi(4);0.211
Video SP - May 03 2024, 14 02 33.avi(1);0.202
Video RP - May 03 2024, 14 02 33.avi(2);0.241
Video SU - May 03 2024, 14 02 33.avi(3);0.006
Video RU - May 03 2024, 14 02 33.avi(4);0.098
Video SP - May 03 2024, 15 03 49.avi(1);0.303
Video RP - May 03 2024, 15 03 49.avi(2);0.342
Video SU - May 03 2024, 15 03 49.avi(3);0.005
Video RU - May 03 2024, 15 03 49.avi(4);0.244
Video SP - May 03 2024, 16 31 22.avi(1);0.022
Video RP - May 03 2024, 16 31 22.avi(2);0.157
Video SU - May 03 2024, 16 31 22.avi(3);0.027
Video RU - May 03 2024, 16 31 22.avi(4); 0.245
Video SP - May 03 2024, 17 21 27.avi(1);0.29
Video RP - May 03 2024, 17 21 27.avi(2);0.195
Video SU - May 03 2024, 17 21 27.avi(3);0.004
Video RU - May 03 2024, 17 21 27.avi(4);0.177
