initial_mass,final_mass,strain,env,adult,comments
0.0007245,NA,s,p,NA,died
0.000772,NA,s,p,NA,died
0.0007095,NA,s,u,NA,died
0.0005566,NA,s,u,NA,died
0.000813,NA,s,u,NA,died
0.0004055,0.0008495,s,p,NA,NA
0.0010165,0.000904,s,u,NA,final mass lower
0.001,0.0014025,s,u,NA,NA
0.000912,0.0006185,s,u,NA,final mass lower
0.000729,NA,s,p,NA,died
0.0012715,NA,s,p,NA,died
0.0005365,0.001086,s,u,NA,NA
0.001226,0.001022,s,u,NA,final mass lower
0.000872,0.0011405,s,u,NA,NA
0.001241,0.0008305,s,u,NA,final mass lower
0.0011875,0.001471,s,u,NA,NA
0.000888,NA,s,u,NA,died
0.0009135,0.000969,s,p,NA,NA
0.0007185,NA,s,u,NA,died
0.0008135,0.0014715,s,u,NA,NA
0.0012425,0.001256,s,u,NA,NA
0.000724,0.0008585,s,u,NA,NA
0.001636,0.001578,s,u,NA,final mass lower
0.000468,0.0008295,s,u,NA,NA
0.000266,NA,s,u,NA,died
0.0017515,NA,s,u,NA,pupated
0.0008995,0.0010335,s,u,NA,NA
0.0007565,0.000655,s,p,NA,final mass lower
0.000659,0.000476,s,p,NA,final mass lower
0.0006775,0.000949,s,u,NA,NA
0.000915,0.0014915,s,u,NA,NA
0.000844,0.0005635,s,u,NA,final mass lower
0.0007825,NA,s,u,NA,died
0.000769,0.0004985,s,u,NA,final mass lower
0.000822,NA,s,p,NA,died
0.000861,0.000803,s,p,NA,final mass lower
0.001261,0.001103,s,u,NA,final mass lower
0.0011695,0.0010065,s,p,NA,final mass lower
0.0007575,0.00078,s,p,NA,NA
0.000707,0.001178,s,u,NA,NA
0.000345,0.0002315,r,u,NA,final mass lower
0.0009325,0.0011805,r,u,NA,NA
0.0007005,0.000823,r,p,NA,NA
0.0012165,0.0014545,r,u,NA,NA
0.0009515,0.0008965,r,p,NA,final mass lower
0.0005355,NA,r,u,NA,died
0.000933,NA,r,u,NA,died
0.0005955,0.0003425,r,p,NA,final mass lower
0.000987,0.000979,r,p,NA,NA
0.0008525,NA,r,p,NA,died
0.000918,0.0007925,r,p,NA,final mass lower
0.0012995,0.000981,r,p,NA,final mass lower
0.0009745,0.0007545,r,p,NA,final mass lower
0.0006475,NA,r,p,NA,died
0.0006775,0.0008595,r,p,NA,NA
0.001077,0.0008535,r,p,NA,final mass lower
0.0009505,0.000854,r,p,NA,final mass lower
0.0007305,NA,r,p,NA,died
0.0006975,NA,r,p,NA,died
0.0011245,0.000693,s,u,NA,final mass lower
0.000779,0.000394,r,u,NA,final mass lower
0.0005375,NA,r,u,NA,died
0.0003095,0.000528,s,u,NA,NA
0.0008075,0.001145,r,u,NA,NA
0.000949,0.0008865,s,p,NA,final mass lower
0.00038,0.000706,s,p,NA,NA
0.0006505,NA,r,p,NA,died
0.000637,0.000872,r,p,NA,NA
0.003765,NA,s,p,NA,died
0.0006605,NA,r,u,NA,died
0.0010855,NA,s,p,NA,died
0.000576,0.0006785,s,p,NA,NA
0.00061,0.000908,s,p,NA,NA
0.000757,0.0005645,r,u,NA,final mass lower
0.00151,0.0013175,s,p,NA,final mass lower
0.00063,0.0004025,r,p,NA,final mass lower
0.000319,NA,s,u,NA,died
0.0009615,0.0012214,r,p,NA,NA
0.0014835,0.0008385,s,u,NA,final mass lower
0.000736,0.0004335,s,p,NA,final mass lower
0.0007155,0.0008325,r,u,NA,NA
0.000595,0.000748,s,p,NA,NA
0.0007545,NA,s,p,NA,died
0.0011995,0.001018,s,u,NA,final mass lower
0.001197,0.00065,r,p,NA,final mass lower
0.000711,0.000494,s,u,NA,final mass lower
0.0009115,0.001454,r,u,NA,NA
0.0006935,0.0009025,s,p,NA,NA
0.000538,0.000723,r,p,NA,NA
0.000923,NA,s,u,NA,died
0.000813,0.0009155,r,u,NA,NA
0.0013195,0.0014425,s,p,NA,NA
0.000951,0.0009265,r,p,NA,final mass lower
0.0006665,0.001007,s,p,NA,NA
0.0010975,0.0011885,s,u,NA,NA
0.0015465,0.0016425,r,p,NA,NA
0.0004515,NA,r,p,NA,died
0.001002,0.0008275,r,u,NA,final mass lower
0.0008805,0.000947,r,u,NA,NA
0.0004265,0.0004305,r,p,NA,NA
0.000989,0.001263,r,p,NA,NA
0.001186,0.0008205,s,p,NA,final mass lower
0.0005495,NA,s,p,NA,died
